<!-- List of MUFI-Entities and their codes as in "norron.dtd" by 6 Feb 2004 -->

&#x0368;	&csup;
&#x0369;	&dsup;
&#x036A;	&hsup;
&#x036B;	&msup;
&#x036C;	&rsup;
&#x036D;	&tsup;
&#x036E;	&vsup;
&#x036F;	&xsup;
&#x03B1;	&agr;
&#x03B2;	&bgr;
&#x03B3;	&ggr;
&#x03B4;	&dgr;
&#x03B5;	&egr;
&#x03B6;	&zgr;
&#x03B7;	&eegr;
&#x03B8;	&thgr;
&#x03B9;	&igr;
&#x03BA;	&kgr;
&#x03BB;	&lgr;
&#x03BC;	&mgr;
&#x03BD;	&ngr;
&#x03BE;	&xgr;
&#x03BF;	&ogr;
&#x03C0;	&pgr;
&#x03C1;	&rgr;
&#x03C2;	&sfgr;
&#x03C3;	&sgr;
&#x03C4;	&tgr;
&#x03C5;	&ugr;
&#x03C6;	&phgr;
&#x03C7;	&khgr;
&#x03C8;	&psgr;
&#x03C9;	&ohgr;
&#x03B8;	&obiit;
&#x10FB;	&tridotright;
&#x16A0;	&frun;
&#x16D8;	&mrun;
&#x1D00;	&ascap;
&#x1D01;	&aeligscap;
&#x1D04;	&cscap;
&#x1D05;	&dscap;
&#x1D06;	&ethscap;
&#x1D07;	&escap;
&#x1D0A;	&jscap;
&#x1D0B;	&kscap;
&#x1D0D;	&mscap;
&#x1D0F;	&oscap;
&#x1D1B;	&tscap;
&#x1D1C;	&uscap;
&#x1D20;	&vscap;
&#x1D21;	&wscap;
&#x1D22;	&zscap;
&#x1E02;	&Bdot;
&#x1E03;	&bdot;
&#x1E04;	&Bdotbl;
&#x1E05;	&bdotbl;
&#x1E0A;	&Ddot;
&#x1E0B;	&ddot;
&#x1E0C;	&Ddotbl;
&#x1E0D;	&ddotbl;
&#x1E16;	&Emacracute;
&#x1E17;	&emacracute;
&#x1E1E;	&Fdot;
&#x1E1F;	&fdot;
&#x1E24;	&Hdotbl;
&#x1E25;	&hdotbl;
&#x1E32;	&Kdotbl;
&#x1E33;	&kdotbl;
&#x1E36;	&Ldotbl;
&#x1E37;	&ldotbl;
&#x1E40;	&Mdot;
&#x1E41;	&mdot;
&#x1E42;	&Mdotbl;
&#x1E43;	&mdotbl;
&#x1E46;	&Ndotbl;
&#x1E47;	&ndotbl;
&#x1E52;	&Omacracute;
&#x1E53;	&omacracute;
&#x1E56;	&Pdot;
&#x1E57;	&pdot;
&#x1E5A;	&Rdotbl;
&#x1E5B;	&rdotbl;
&#x1E60;	&Sdot;
&#x1E61;	&sdot;
&#x1E62;	&Sdotbl;
&#x1E63;	&sdotbl;
&#x1E6A;	&Tdot;
&#x1E6B;	&tdot;
&#x1E6C;	&Tdotbl;
&#x1E6D;	&tdotbl;
&#x1E7E;	&Vdotbl;
&#x1E7F;	&vdotbl;
&#x1E82;	&Wacute;
&#x1E83;	&wacute;
&#x1E84;	&Wuml;
&#x1E85;	&wuml;
&#x1E86;	&Wdot;
&#x1E87;	&wdot;
&#x1E88;	&Wdotbl;
&#x1E89;	&wdotbl;
&#x1E8E;	&Ydot;
&#x1E8F;	&ydot;
&#x1E92;	&Zdotbl;
&#x1E93;	&zdotbl;
&#x1EA0;	&Adotbl;
&#x1EA1;	&adotbl;
&#x1EA2;	&Ahook;
&#x1EA3;	&ahook;
&#x1EAE;	&Abreveacute;
&#x1EAF;	&abreveacute;
&#x1EB8;	&Edotbl;
&#x1EB9;	&edotbl;
&#x1EC8;	&Ihook;
&#x1EC9;	&ihook;
&#x1ECA;	&Idotbl;
&#x1ECB;	&idotbl;
&#x1ECC;	&Odotbl;
&#x1ECD;	&odotbl;
&#x1ECE;	&Ohook;
&#x1ECF;	&ohook;
&#x1EE4;	&Udotbl;
&#x1EE5;	&udotbl;
&#x1EE6;	&Uhook;
&#x1EE7;	&uhook;
&#x1EF4;	&Ydotbl;
&#x1EF5;	&ydotbl;
&#x1EF6;	&Yhook;
&#x1EF7;	&yhook;
&#x2000;	&enqd;
&#x2001;	&emqd;
&#x2002;	&ensp;
&#x2003;	&emsp;
&#x2004;	&emsp13;
&#x2005;	&emsp14;
&#x2006;	&emsp16;
&#x2007;	&numsp;
&#x2008;	&puncsp;
&#x2009;	&thinsp;
&#x200A;	&hairsp;
&#x200B;	&zerosp;
&#x2010;	&dash;
&#x2011;	&nbhy;
&#x2012;	&numdash;
&#x2013;	&ndash;
&#x2014;	&mdash;
&#x2015;	&horbar;
&#x2016;	&Verbar;
&#x2018;	&lsquo;
&#x2019;	&rsquo;
&#x201A;	&lsquolow;
&#x201B;	&rsquorev;
&#x201C;	&ldquo;
&#x201D;	&rdquo;
&#x201E;	&ldquolow;
&#x201F;	&rdquorev;
&#x2020;	&dagger;
&#x2021;	&Dagger;
&#x2022;	&bull;
&#x2023;	&tribull;
&#x2024;	&sgldr;
&#x2025;	&dblldr;
&#x2026;	&hellip;
&#x2027;	&hyphpoint;
&#x202F;	&nnbsp;
&#x2030;	&permil;
&#x2032;	&prime;
&#x2033;	&Prime;
&#x2039;	&lsaquo;
&#x203A;	&rsaquo;
&#x203B;	&refmark;
&#x2042;	&triast;
&#x2044;	&fracsol;
&#x2045;	&lsqbqu;
&#x2046;	&rsqbqu;
&#x204A;	&et;
&#x204B;	&revpara;
&#x2212;	&minus;
&#x2234;	&there4;
&#x223B;	&est;
&#x271D;	&cross;
&#x27E6;	&lwhsqb;
&#x27E7;	&rwhsqb;
&#x27E8;	&langb;
&#x27E9;	&rangb;
&#xEF90;	&AAlig;
&#xEF91;	&aalig;
&#xEF92;	&AOlig;
&#xEF93;	&aolig;
&#xEF94;	&AUlig;
&#xEF95;	&aulig;
&#xEF96;	&AVlig;
&#xEF97;	&avlig;
&#xEF98;	&AVligslash;
&#xEF99;	&avligslash;
&#xEF9A;	&AYlig;
&#xEF9B;	&aylig;
&#xEF9C;	&lbrk;
&#xEF05;	&fscap;
&#xEF0C;	&qscap;
&#xEF0E;	&sscap;
&#xEF15;	&thscap;
&#xEF11;	&xscap;
&#xEEE0;	&aenl;
&#xEEE1;	&benl;
&#xEEE2;	&cenl;
&#xEEE3;	&denl;
&#xEEE4;	&duncenl;
&#xEEE5;	&ethenl;
&#xEEE6;	&eenl;
&#xEEE7;	&fenl;
&#xEEE8;	&genl;
&#xEEE9;	&henl;
&#xEEEA;	&ienl;
&#xEEEB;	&jenl;
&#xEEEC;	&kenl;
&#xEEED;	&lenl;
&#xEEEE;	&menl;
&#xEEEF;	&nenl;
&#xEEF0;	&oenl;
&#xEEF1;	&penl;
&#xEEF2;	&qenl;
&#xEEF3;	&renl;
&#xEEF4;	&senl;
&#xEEF5;	&tenl;
&#xEEF6;	&thornenl;
&#xEEF7;	&uenl;
&#xEEF8;	&venl;
&#xEEF9;	&wenl;
&#xEEFA;	&xenl;
&#xEEFB;	&yenl;
&#xEEFC;	&zenl;
&#xF156;	&condes;
&#xF142;	&ET;
&#xF158;	&etslash;
&#xF154;	&rum;
&#xF159;	&de;
&#xF15A;	&is;
&#xF155;	&etfin;
&#xE734;	&thornslonglig;
&#xE7C7;	&hslongligbar;
&#xE7C8;	&kslongligbar;
&#xE735;	&thornslongligbar;
&#xE7C5;	&kbar;
&#xE73B;	&thornbar;
&#xE7FF;	&slongbar;
&#xE270;	&Pbardes;
&#xE670;	&pbardes;
&#xE68A;	&qbardes;
&#xE7A0;	&thornbardes;
&#xE27D;	&Pflour;
&#xE67D;	&pflour;
&#xF1C0;	&arbar;
&#xF152;	&er;
&#xF157;	&ra;
&#xF1C1;	&rabar;
&#xF153;	&ur2;
&#xF1C2;	&ur8;
&#xF1C3;	&ur8open;
&#xF151;	&ussep;
&#xF15B;	&us;
&#xF163;	&combcircdbl;
&#xF1C4;	&combcurl;
&#xF1C5;	&combcurlhigh;
&#xF1C6;	&combflour;
&#xF011;	&aeligsup;
&#xF012;	&bsup;
&#xF013;	&bscapsup;
&#xF014;	&ethsup;
&#xF016;	&dscapsup;
&#xF017;	&fsup;
&#xF018;	&gsup;
&#xF019;	&gscapsup;
&#xF01B;	&ksup;
&#xF01C;	&kscapsup;
&#xF01D;	&lsup;
&#xF01E;	&lscapsup;
&#xF020;	&mscapsup;
&#xF021;	&nsup;
